"SKU","Title","Product ID","Variant ID","Specifications","Images"
"1016","Shell - Black","prod_01JQ0GBWCR18WVB8YZ01C24H4S","variant_01JQ0GBWE6JT6J3M5A2GBKN1YQ","SKU: 1016
Material: Premium Italian full grain aniline leather
Seat Height: 37 cm
Weight Limit: 220 kg
Base Material: Black painted plywood
Product Weight: 21 kg
Material Details: Leather is 1-1.2mm full grain from Bolzano, Italy
Product Dimensions: H75 cm x W89 cm x D74 cm
Packaging Dimensions: 94 cm x 89 cm x 84 cm (23 kg)
Assembly Requirements: One person assembly
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1016-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1016-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1016-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1016-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1016-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1016-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1016-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1016.jpg"
"1015","Shell - Walnut and Black Premium Leather","prod_01JQ0GBWCR18WVB8YZ01C24H4S","variant_01JQ0GBWE70ZSEHWS8STYC5V7C","SKU: 1015
Material: Premium Italian full grain aniline leather
Seat Height: 37 cm
Weight Limit: 220 kg
Base Material: Walnut laminated plywood
Product Weight: 21 kg
Material Details: Leather is 1-1.2mm full grain from Bolzano, Italy
Product Dimensions: H75 cm x W89 cm x D74 cm
Packaging Dimensions: 94 cm x 89 cm x 84 cm (23 kg)
Assembly Requirements: One person assembly
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1015-1_e368bf3f-2e7c-448d-ae0b-0df05e2b9118.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1015-2_dee5d028-c162-4df7-a6f8-d667c8a95e34.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1015-3_8e5895b8-3701-42c5-b90e-3577612480b6.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1015-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1015-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1015-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1015-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1015.jpg"
"4648","Shell - Oak and Black Vegan Leather","prod_01JQ0GBWCR18WVB8YZ01C24H4S","variant_01JQ0GBWE76R2Z68R898VAZW3W","SKU: 4648
Material: Vegan leather
Seat Height: 37 cm
Base Material: Oak laminated plywood
Product Weight: 21 kg
Product Dimensions: H75 cm x W89 cm x D74 cm
Packaging Dimensions: 94 cm x 89 cm x 84 cm (23 kg)
Assembly Requirements: One person assembly
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/4648-1_2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4648-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4648-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4648-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4648-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4648-11.jpg"
"4647","Shell - Walnut and Black Vegan Leather","prod_01JQ0GBWCR18WVB8YZ01C24H4S","variant_01JQ0GBWE7Z6KX69HE9HHV74BY","SKU: 4647
Material: Vegan leather
Seat Height: 37 cm
Base Material: Walnut laminated plywood
Product Weight: 21 kg
Product Dimensions: H75 cm x W89 cm x D74 cm
Packaging Dimensions: 94 cm x 89 cm x 84 cm (23 kg)
Assembly Requirements: One person assembly
Indoor or Outdoor Use: Indoor
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/4647-1_2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4647-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4647-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4647-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4647-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/4647-11.jpg"
"1029","Tolia - White","prod_01JQ0GBXJEERCF8Z08NKWXJRE2","variant_01JQ0GBXKJ4EX98KPERCFB7AD5","SKU: 1029
Material: Powder-coated #304 grade stainless steel
Seat Height: 45 cm
Weight Limit: 100 kg
Product Weight: 6 kg
Product Dimensions: H86 cm x W52 cm x D46 cm
Packaging Dimensions: 52 cm x 46 cm x 86 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1029_1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1029_2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1029_3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1029_4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1029_10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1029_11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1029-12_c3075997-1331-486f-8a21-041250a63479.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1029.jpg"
"1027","Tolia - Black","prod_01JQ0GBXJEERCF8Z08NKWXJRE2","variant_01JQ0GBXKJN60YBZD9NBNWXBMY","SKU: 1027
Material: Powder-coated #304 grade stainless steel
Seat Height: 45 cm
Weight Limit: 100 kg
Product Weight: 6 kg
Product Dimensions: H86 cm x W52 cm x D46 cm
Packaging Dimensions: 52 cm x 46 cm x 86 cm (6 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1027-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1027-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1027-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1027-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1027-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1027-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1027-12_0d16410f-3d00-424f-b3bb-b6dc1f7e3c90.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1027.jpg"
"1031","Stanley - Stanley - Stanley Chair, Midnight Black Premium Leather","prod_01JQ0GBYA9ZM4CN9NJXFGYDS6E","variant_01JQ0GBYB97MJ33R387AC36T6G","SKU: 1031
Material: Premium Italian full grain aniline leather
Fabric SKU: FAB0022
Seat Height: 44 cm
Weight Limit: 100 kg
Base Material: Polished #304 grade stainless steel
Product Weight: 13 kg
Material Details: Leather is 1-1.2mm full grain from Bolzano, Italy
Product Dimensions: H80 cm x W77 cm x D74 cm
Packaging Dimensions: 80 cm x 80 cm x 76 cm (16 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/1031-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1031-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1031-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1031-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1031-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1031-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/1031-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_1031.jpg"
"1162","Ghost - Ghost - Ghost Armchair, Clear","prod_01JQ0GBZ1FTNRTG1VGEH6XRQ7C","variant_01JQ0GBZ2H9RAJXEPB8PDZSSVD","SKU: 1162
Material: Polycarbonate polypropylene
Stackable: Yes
Seat Height: 49 cm
Weight Limit: 100 kg
Base Material: Polycarbonate
Armrest Height: 66 cm
Product Weight: 5 kg
Product Dimensions: H94 cm x W58 cm x D53 cm
Packaging Dimensions: 56 cm x 58 cm x 94 cm (8 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1033-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1033-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1033-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1033-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1033-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1033-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/rollover_1033.jpg"
"1039","Norman - Walnut","prod_01JQ0GC2E116G0CF306T5XR553","variant_01JQ0GC2F7CVPN1WD6V8J2E5YG","SKU: 1039
Material: Walnut laminated plywood
Stackable: No
Seat Depth: 46 cm
Seat Height: 44 cm
Weight Limit: 100 kg
Product Weight: 5 kg
Leg Information: Diameter: 2 cm
Other Information: There are adjustable levellers under each foot which protect the floor
Product Dimensions: H83 cm x W44 cm x D52 cm
Packaging Dimensions: 53 cm x 53 cm x 85 cm (8 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/products/1039-1.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1039-2.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1039-3.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1039-4.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1039-10.jpg
https://cdn.shopify.com/s/files/1/2589/1828/products/1039-11.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2221-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_2221.jpg"
"2070","Norman - Oak","prod_01JQ0GC2E116G0CF306T5XR553","variant_01JQ0GC2F7NHKY5PRRTWN4XVMV","SKU: 2070
Material: Oak laminated plywood
Seat Depth: 46 cm
Seat Height: 44 cm
Weight Limit: 100 kg
Product Weight: 5 kg
Leg Information: Diameter: 2 cm
Other Information: There are adjustable levellers under each foot which protect the floor
Product Dimensions: H83 cm x W44 cm x D52 cm
Packaging Dimensions: 53 cm x 53 cm x 85 cm (8 kg)
Assembly Requirements: None required, it comes fully assembled
No. of Shipping Cartons: 1","https://cdn.shopify.com/s/files/1/2589/1828/files/2070-1_85126339-1a06-4092-a034-04b382db6644.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2070-2_ee7f6152-bd4d-4e76-a0af-7bfc7e2d177b.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2070-3_193b1e9f-61a4-4d86-b76e-d0dec4b24b84.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2070-4_80224353-431f-4ede-bab1-d73a64c50aee.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2070-10_289cfbb0-cd1f-4882-b2df-47a99783dc7a.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2070-11_137fe342-ed10-4e59-b8ad-dbedb427220f.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/2070-12.jpg
https://cdn.shopify.com/s/files/1/2589/1828/files/rollover_2070.jpg"
